Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species
4635,7017,574,USA,MT,Lewis and Clark,Cretaceous,Lower part of Two Medicine formation.,Campanian,NA,,Opposite Oasis Café in Wolf Creek,Corbula,,W.A. Cobban,09/06/1955,0,,,47.00725,-112.07256,,,02/18/2014,Corbula,,Two Medicine,Corbula
4636,7018,575,USA,MT,Lewis and Clark,Cretaceous,"Lower part of Two Medicine formation, 12' below coal bed.",Campanian,NA,,"East side of  State Highway 33, 2.4 miles northwest of bridge over Dearborn River, SE1/4 sec. 16, T. 17 N., R. 4 W.",Ostrea ,,W.A. Cobban,09/06/1955,0,,,47.22442,-112.10959,,,02/18/2014,Ostrea ,,Two Medicine,Ostrea
4637,7019,576,USA,MT,Lewis and Clark,Cretaceous,"Lower part of Two Medicine formation, 8' below coal bed.",Campanian,NA,,"Same loc. as D575. East side of  State Highway 33, 2.4 miles northwest of bridge over Dearborn River, SE1/4 sec. 16, T. 17 N., R. 4 W",Corbula,,W.A. Cobban,09/06/1955,0,,,47.22442,-112.10959,,,02/18/2014,Corbula,,Two Medicine,Corbula
4638,7020,577,USA,MT,Lewis and Clark,Cretaceous,"Lower part of Two Medicine formation, 3' above coal bed.",Campanian,NA,,"Same loc. as D575. East side of  State Highway 33, 2.4 miles northwest of bridge over Dearborn River, SE1/4 sec. 16, T. 17 N., R. 4 W",Leaves,,W.A. Cobban,09/06/1955,0,,,47.22442,-112.10959,,,02/18/2014,Leaves,,Two Medicine,Leaves
4639,7021,578,USA,MT,Lewis and Clark,Cretaceous,Lower part of Two Medicine formation ( about 40' above base ).,Campanian,NA,,"South side of  State Highway 20, 0.3 miles west of Bowman's Corners, NW1/4 sec. 30, T. 18 N., R. 4 W.",Corbula,,W.A. Cobban,09/06/1955,0,,,47.29306,-112.16532,,,02/18/2014,Corbula,,Two Medicine,Corbula
4641,7024,584,USA,UT,Garfield,Cretaceous,marine beds at top of Dacota (or base of Mancos),,NA,,"East flank of Waterpocket fold just east of Hunt's Bitter Creek divide, S. San Rafael Swell. Sec. ?, T. 33 S., R. 8 E.",Ostrea prudentia,M. defordi,"P. E. Cloud, Jr.",1955,,,,37.96558,-111.0521,,,02/18/2014,Ostrea prudentia,,Mancos,Ostrea_prudentia
1943,2119,586,USA,CO,El Paso,Cretaceous,Gregory zone of Pierre shale. From limy inronstone concretions in clay shale. Sandstone lays 50' ? Above fossills (Hygiene?),"Campanian, Upper. ",71.9,Baculites eliasi,"914 -19th St., C°Springs. NE1/4NE1/4 sec. 11, T. 14 S., R. 62 W.",Baculites eliasi,Baculites eliasi,G.R. Scott,10/23/1955,,Colorado Springs ,,38.8513,-104.29888,MAP I-1627,,02/18/2014,,,Gregory,Baculites_eliasi
4324,6548,589,USA,CO,Boulder,Cretaceous,Pierre shale.,,NA,(BACULITES) BACULUS,"NE1/4NE1/4NW1/4 sec. 1, T. 1 S., R. 71 W., from sandy ironstone beds in sandy shale.", Baculites,Inoceramus azerbaidjanensis,G.R. Scott,10/24/1955,,,Eldorado Springs,39.9995,-105.2912,,,02/18/2014, Baculites,,Pierre,Baculites
3532,4588,592,USA,CO,Jefferson,Cretaceous,Pierre shale,"Maastrichtian, Lower. 70.15 MY",NA,,"Four miles north of Golden, on east slope of hill, NE1/4NW1/4NE1/4NW1/4 sec. 4, T. 3 S., R. 70 W..", Baculites grandis?,,"G.R. Scott, W.. A. Cobban",11/04/1955,EG-55-7D,Golden ,Golden,39.8255,-105.2343,,,02/18/2014, Baculites grandis?,GF-40,Pierre,Baculites_grandis?
4644,7027,593,USA,CO,Jefferson,Cretaceous,"Pierre shale,upper part",,NA,,"3 -3/4 miles north of Golden, at center of the south line of  the SE1/4NE1/4NW1/4 sec. 4, T. 3 S., R. 70 W..",Acanthoscaphites,,R. Van Horn,11/04/1955,,Golden ,Golden,39.8231,-105.233,,,02/18/2014,Acanthoscaphites,GF-41,Pierre,Acanthoscaphites
